vessel_id,mmsi,vessel_type,loa_m,draft_m,gross_tonnage,engine_power_kw,vessel_age_years,latitude,longitude,speed_knots,heading,distance_to_port_nm,timestamp,scheduled_eta,month,hour,day_of_week,is_weekend,estimated_service_time_hours,is_night,wind_speed_knots,wave_height_m,visibility_km,precipitation_mm,temperature_c,port_id,berth_id,berth_available_from,berth_max_length,berth_queue_length,crane_availability_ratio,port_congestion_index,traffic_density,port_avg_delay_last_24h,actual_delay_minutes,actual_arrival_time,assigned_berth,berth_waiting_time,berth_conflict_flag,congestion_level_future,queue_length_future
V00089,263215225,Container,388.4,15.92,95337,40060,0.7,39.3351,63.6637,17.0,291,107.5,2024-06-23T00:44:12,2024-06-23T07:02:47.976394,6,0,6,1,33.3,1,15.0,1.45,14.6,0.0,29.4,PORT_E,PORT_E_B07,2024-06-23T00:44:12,340,6,0.72,0.52,Medium,22.7,73.6,2024-06-23T08:16:23.976394,PORT_E_B07,48.0,1,1.0,10
V00473,690523713,General Cargo,84.4,5.62,24552,8147,10.5,54.9294,85.92,12.2,48,6.4,2023-06-05T11:35:41,2023-06-05T12:07:16.600255,6,11,0,0,7.9,0,14.9,1.1,14.4,0.0,29.4,PORT_H,PORT_H_B07,2023-06-05T11:35:41,300,5,0.684,0.622,Medium,49.3,50.4,2023-06-05T12:57:40.600255,PORT_H_B07,41.1,1,0.879,6
V00039,426541100,Bulk Carrier,202.4,12.36,91254,45483,12.1,25.1601,38.0748,13.2,205,10.6,2023-12-18T02:41:11,2023-12-18T03:29:16.544026,12,2,0,0,9.5,1,10.8,0.73,13.1,1.1,16.6,PORT_B,PORT_B_B02,2023-12-18T02:41:11,300,6,0.75,0.645,Medium,34.7,74.6,2023-12-18T04:43:52.544026,PORT_B_B02,49.6,1,1.0,9
V00208,425681937,Bulk Carrier,230.9,12.74,42093,35035,17.4,55.5334,84.0223,12.9,105,122.9,2023-03-10T04:32:16,2023-03-10T14:02:50.733518,3,4,4,0,29.9,1,17.2,1.55,14.8,0.0,18.5,PORT_H,PORT_H_B07,2023-06-05T20:53:08.431258,300,3,0.836,0.255,Low,14.7,49.3,2023-03-10T14:52:08.733518,PORT_H_B07,125665.5,1,0.6,3
V00292,244097648,Car Carrier,151.5,9.3,16050,26446,35.0,45.3088,70.2968,15.7,223,25.7,2024-06-02T17:26:09,2024-06-02T19:04:21.971901,6,17,6,1,15.1,0,24.6,2.12,11.6,0.0,29.3,PORT_F,PORT_F_B06,2024-06-02T17:26:09,380,4,0.859,0.421,Medium,18.7,72.9,2024-06-02T20:17:15.971901,PORT_F_B06,43.3,0,0.839,10
V00585,553954674,Container,378.4,14.84,118485,58203,4.0,25.1092,38.236,17.4,245,15.6,2024-03-03T04:41:23,2024-03-03T05:35:03.108250,3,4,6,1,21.3,1,18.3,1.35,18.4,0.0,19.9,PORT_B,PORT_B_B01,2024-03-03T04:41:23,380,8,0.813,0.538,Medium,32.0,71.5,2024-03-03T06:46:33.108250,PORT_B_B01,64.1,1,0.923,10
V00112,630613730,Tanker,279.7,11.34,30546,15654,3.5,38.9249,66.5411,13.1,283,280.0,2024-10-23T06:32:20,2024-10-24T03:59:03.869087,10,6,2,0,9.0,0,16.2,1.46,14.7,0.0,15.4,PORT_E,PORT_E_B07,2024-10-23T06:32:20,340,5,0.804,0.52,Medium,33.2,47.9,2024-10-24T04:46:57.869087,PORT_E_B07,41.2,1,0.926,6
V00095,707850825,Container,398.5,10.44,75385,68526,5.9,30.1808,45.2652,18.1,103,45.4,2024-09-08T11:34:22,2024-09-08T14:04:45.384316,9,11,6,1,15.6,0,7.9,0.57,13.8,0.0,20.6,PORT_C,PORT_C_B10,2024-09-08T11:34:22,300,6,0.761,0.497,Medium,30.6,62.8,2024-09-08T15:07:33.384316,PORT_C_B10,54.2,1,0.922,7
V00561,657707814,LNG Carrier,342.8,11.51,81317,69076,10.1,35.5819,50.5893,18.7,99,207.6,2023-04-05T06:21:36,2023-04-05T17:28:00.992319,4,6,2,0,35.5,0,3.9,0.23,8.9,0.0,24.6,PORT_D,PORT_D_B02,2023-04-05T06:21:36,380,6,0.776,0.541,Medium,28.0,52.7,2023-04-05T18:20:42.992319,PORT_D_B02,58.0,1,0.877,9
V00164,359014494,General Cargo,160.3,5.02,16672,8972,6.2,30.0586,45.9362,11.9,132,5.2,2023-07-03T21:04:56,2023-07-03T21:31:11.059494,7,21,0,0,29.3,1,13.3,1.4,13.4,0.0,30.6,PORT_C,PORT_C_B11,2023-07-03T21:04:56,340,7,0.766,0.425,Medium,23.8,74.5,2023-07-03T22:45:41.059494,PORT_C_B11,83.2,1,0.889,9
V00094,707526655,Tanker,162.1,19.67,21970,55101,6.0,20.9695,29.3692,14.0,146,69.4,2023-10-08T07:35:55,2023-10-08T12:32:38.969789,10,7,6,1,21.7,0,5.8,0.29,14.7,0.0,15.5,PORT_A,PORT_A_B05,2023-10-08T07:35:55,340,7,0.737,0.489,Medium,32.7,50.8,2023-10-08T13:23:26.969789,PORT_A_B05,58.7,1,0.828,8
V00325,770073086,Tanker,277.3,11.21,67296,19350,4.8,48.6361,68.9855,13.7,164,226.5,2023-12-30T01:04:34,2023-12-30T17:38:33.874945,12,1,5,1,29.7,1,14.9,1.64,13.1,2.1,6.2,PORT_F,PORT_F_B04,2024-04-24T05:35:46.482789,340,3,0.855,0.292,Low,22.3,59.5,2023-12-30T18:38:03.874945,PORT_F_B04,166282.3,1,0.757,6
V00210,674765467,Tanker,308.7,14.82,104394,50945,35.0,29.9137,45.9922,12.9,5,5.2,2024-04-20T07:32:39,2024-04-20T07:56:46.052311,4,7,5,1,32.3,0,10.1,0.7,12.2,0.0,25.8,PORT_C,PORT_C_B03,2024-04-20T07:32:39,340,4,0.744,0.497,Medium,32.4,57.0,2024-04-20T08:53:46.052311,PORT_C_B03,36.1,0,0.87,6
V00086,563016615,Container,211.5,14.57,81821,26853,0.7,24.6549,37.7881,17.2,31,24.3,2023-08-29T05:35:48,2023-08-29T07:00:23.673579,8,5,1,0,16.7,1,8.6,0.83,18.0,0.0,22.0,PORT_B,PORT_B_B01,2024-03-04T04:07:31.249063,380,4,0.739,0.591,Medium,37.6,49.8,2023-08-29T07:50:11.673579,PORT_B_B01,270529.5,1,1.0,6
V00576,686940739,Bulk Carrier,199.7,13.13,32601,12846,0.6,55.5543,86.0509,13.1,185,33.4,2024-02-13T07:40:38,2024-02-13T10:14:10.639399,2,7,1,0,17.1,0,6.5,0.43,12.7,0.3,12.2,PORT_H,PORT_H_B05,2024-02-13T07:40:38,300,6,0.749,0.513,Medium,26.3,51.7,2024-02-13T11:05:52.639399,PORT_H_B05,48.4,1,0.882,7
V00222,461976302,Tanker,298.7,11.47,38591,39163,7.2,50.0107,78.0894,13.1,263,5.4,2024-10-01T12:09:31,2024-10-01T12:34:18.029444,10,12,1,0,22.4,0,3.0,0.15,23.0,0.0,17.4,PORT_G,PORT_G_B04,2024-12-11T18:26:12.240868,300,5,0.781,0.432,Low,18.7,37.1,2024-10-01T13:11:24.029444,PORT_G_B04,102614.6,1,0.676,8
V00376,632190232,General Cargo,148.9,9.37,27270,14416,1.4,30.9267,46.7806,12.7,220,72.7,2023-09-04T05:49:26,2023-09-04T11:32:46.251457,9,5,0,0,24.6,1,11.6,0.9,12.6,0.0,12.8,PORT_C,PORT_C_B11,2023-09-04T05:49:26,340,5,0.662,0.69,Medium,37.9,52.2,2023-09-04T12:24:58.251457,PORT_C_B11,46.9,1,1.0,6
V00062,391825998,VLCC,335.1,18.31,82028,117758,14.5,54.3339,85.731,12.0,21,43.1,2023-12-28T19:45:36,2023-12-28T23:21:29.913464,12,19,3,0,25.8,0,5.6,0.37,21.3,1.9,8.8,PORT_H,PORT_H_B00,2023-12-28T19:45:36,340,3,0.837,0.134,Low,3.8,34.1,2023-12-28T23:55:35.913464,PORT_H_B00,32.5,0,0.474,2
V00571,306492060,General Cargo,130.6,6.1,6362,3540,1.5,44.9836,69.9885,12.6,35,1.2,2023-04-10T16:19:49,2023-04-10T16:25:33.193637,4,16,0,0,32.1,0,21.8,2.16,14.7,0.0,29.5,PORT_F,PORT_F_B03,2023-04-10T16:19:49,150,5,0.751,0.459,Medium,23.9,58.2,2023-04-10T17:23:45.193637,PORT_F_B03,40.0,1,0.952,6
V00259,634131720,Bulk Carrier,180.0,9.0,23888,35457,9.8,32.0403,46.1113,14.2,183,122.6,2024-08-19T08:29:13,2024-08-19T17:07:09.878635,8,8,0,0,34.9,0,6.7,0.47,11.0,0.0,21.8,PORT_C,PORT_C_B08,2024-08-19T08:29:13,230,4,0.773,0.497,Medium,14.8,47.5,2024-08-19T17:54:39.878635,PORT_C_B08,32.1,0,0.898,7
V00085,466186632,Tanker,253.4,13.86,99668,30791,1.0,50.057,77.9348,13.7,131,5.2,2024-01-26T14:03:37,2024-01-26T14:26:23.323239,1,14,4,0,33.1,0,6.9,0.56,9.3,1.9,15.2,PORT_G,PORT_G_B00,2024-01-26T14:03:37,260,3,0.814,0.432,Low,26.3,32.9,2024-01-26T14:59:17.323239,PORT_G_B00,29.7,0,0.751,5
V00434,641066405,LNG Carrier,315.2,10.14,82241,84229,2.1,17.7134,32.1496,18.6,316,188.3,2024-10-07T18:14:52,2024-10-08T04:22:29.178867,10,18,0,0,8.0,0,4.5,0.27,15.1,0.0,11.9,PORT_A,PORT_A_B05,2024-10-07T18:14:52,340,5,0.746,0.396,Medium,19.0,30.6,2024-10-08T04:53:05.178867,PORT_A_B05,40.3,1,0.682,7
V00157,340466537,Container,379.9,13.5,60085,44176,23.5,29.9072,46.2888,16.8,287,18.2,2023-08-25T05:17:32,2023-08-25T06:22:35.057790,8,5,4,0,9.3,1,8.2,0.79,14.3,0.0,25.1,PORT_C,PORT_C_B05,2023-08-25T05:17:32,380,4,0.857,0.299,Low,18.8,42.3,2023-08-25T07:04:53.057790,PORT_C_B05,42.5,0,0.578,5
V00447,772972598,LNG Carrier,306.4,11.78,82973,53158,2.2,44.5596,71.7195,18.6,284,106.5,2024-12-27T00:46:34,2024-12-27T06:30:13.929199,12,0,4,0,26.7,1,3.5,0.28,14.7,5.7,6.2,PORT_F,PORT_F_B09,2024-12-27T00:46:34,340,3,0.735,0.421,Low,24.1,43.0,2024-12-27T07:13:13.929199,PORT_F_B09,34.3,0,0.789,8
V00136,277892577,Tanker,298.9,11.84,33721,45088,21.2,45.2034,68.9716,13.6,101,62.9,2024-02-08T00:57:21,2024-02-08T05:34:31.452062,2,0,3,0,32.6,1,8.8,0.67,15.2,0.1,19.0,PORT_F,PORT_F_B08,2024-02-08T00:57:21,300,5,0.719,0.421,Low,32.5,64.0,2024-02-08T06:38:31.452062,PORT_F_B08,41.7,1,0.858,6
V00598,493421845,Container,219.4,14.8,75270,41034,1.1,24.4256,37.4848,16.9,41,46.3,2023-07-14T15:37:17,2023-07-14T18:21:39.099120,7,15,4,0,10.3,0,6.8,0.61,14.5,0.0,22.8,PORT_B,PORT_B_B02,2023-12-18T14:15:22.557157,300,3,0.832,0.14,Low,4.5,21.5,2023-07-14T18:43:09.099120,PORT_B_B02,225837.2,1,0.311,3
V00409,533665423,RoRo,186.7,6.27,34189,19957,0.7,40.4228,61.7986,15.2,154,28.1,2023-04-08T05:20:36,2023-04-08T07:11:38.420648,4,5,5,1,24.0,1,8.7,0.84,10.7,0.0,21.2,PORT_E,PORT_E_B00,2023-04-08T05:20:36,200,4,0.782,0.35,Low,22.0,32.6,2023-04-08T07:44:14.420648,PORT_E_B00,41.2,0,0.639,5
V00551,256263021,Container,243.9,12.82,109014,55970,0.5,24.9692,38.7043,17.0,272,42.3,2024-01-26T08:38:32,2024-01-26T11:08:15.533394,1,8,4,0,24.5,0,2.9,0.18,16.5,1.9,9.7,PORT_B,PORT_B_B02,2024-01-26T08:38:32,300,4,0.706,0.538,Medium,27.7,36.4,2024-01-26T11:44:39.533394,PORT_B_B02,32.9,0,0.829,5
V00104,350519598,Tanker,261.0,13.19,107232,52895,14.6,29.2946,46.2737,12.3,338,45.4,2023-05-13T23:24:39,2023-05-14T03:06:31.820018,5,23,5,1,25.1,1,1.3,0.08,16.4,0.0,33.6,PORT_C,PORT_C_B11,2023-09-05T12:58:15.656954,340,2,0.865,0.256,Low,13.6,24.8,2023-05-14T03:31:19.820018,PORT_C_B11,164770.4,1,0.636,1
V00269,607083674,RoRo,151.1,7.38,21728,29728,0.5,45.483,69.2584,14.8,123,53.1,2024-10-16T09:53:51,2024-10-16T13:29:49.633106,10,9,2,0,33.6,0,18.9,1.95,17.3,0.0,12.0,PORT_F,PORT_F_B01,2024-10-16T09:53:51,180,6,0.748,0.421,Medium,13.6,60.4,2024-10-16T14:30:13.633106,PORT_F_B01,49.0,1,0.757,6
V00005,300604503,Container,352.7,11.2,71423,50435,0.5,22.0326,30.2093,17.8,185,122.6,2024-10-02T23:31:08,2024-10-03T06:25:12.949051,10,23,2,0,31.6,1,4.8,0.4,21.9,0.0,13.3,PORT_A,PORT_A_B10,2024-10-02T23:31:08,230,6,0.727,0.396,Medium,28.5,46.6,2024-10-03T07:11:48.949051,PORT_A_B10,52.4,1,0.774,8
V00294,274041731,General Cargo,136.7,8.69,35748,9062,3.2,24.5033,37.5044,13.5,44,42.1,2023-02-05T07:28:09,2023-02-05T10:35:02.602911,2,7,6,1,34.4,0,3.8,0.31,14.7,0.6,20.2,PORT_B,PORT_B_B00,2024-03-22T04:02:50.307129,340,7,0.737,0.555,Medium,30.9,50.0,2023-02-05T11:25:02.602911,PORT_B_B00,591463.2,1,0.847,6
V00336,392673893,Container,256.1,15.85,84097,61479,1.1,44.2156,60.8424,17.1,164,262.3,2024-05-20T17:56:33,2024-05-21T09:16:29.492082,5,17,0,0,10.7,0,21.3,1.48,14.7,0.0,28.2,PORT_E,PORT_E_B07,2024-10-24T13:49:22.473809,340,7,0.712,0.52,Medium,31.6,71.6,2024-05-21T10:28:05.492082,PORT_E_B07,224899.7,1,0.978,6
V00153,469639389,Tanker,256.9,17.39,98662,30393,13.8,51.5738,77.6604,13.5,167,96.6,2024-04-25T02:22:34,2024-04-25T09:31:36.894881,4,2,3,0,24.4,1,13.2,1.14,20.9,0.0,24.2,PORT_G,PORT_G_B02,2024-04-25T02:22:34,340,4,0.784,0.432,Low,26.8,50.0,2024-04-25T10:21:36.894881,PORT_G_B02,37.0,0,0.756,4
V00452,508570855,General Cargo,157.4,8.01,36238,9650,7.5,55.0332,85.997,12.7,174,2.0,2024-11-21T12:06:10,2024-11-21T12:15:34.881756,11,12,3,0,24.1,0,2.4,0.15,13.7,3.4,12.0,PORT_H,PORT_H_B08,2024-11-21T12:06:10,200,5,0.636,0.513,Medium,28.5,45.1,2024-11-21T13:00:40.881756,PORT_H_B08,65.4,1,0.897,9
V00423,645541034,Car Carrier,132.2,8.88,35381,12086,17.1,40.9434,62.0558,17.0,183,56.7,2024-05-13T14:01:08,2024-05-13T17:21:26.610587,5,14,0,0,34.6,0,1.5,0.07,18.6,0.0,28.1,PORT_E,PORT_E_B01,2024-05-13T14:01:08,260,4,0.754,0.52,Medium,26.5,38.4,2024-05-13T17:59:50.610587,PORT_E_B01,39.4,0,0.797,5
V00433,450785762,Tanker,326.4,15.98,29616,45427,3.1,53.1443,85.2586,13.5,21,119.9,2023-07-10T04:51:18,2023-07-10T13:46:05.714353,7,4,0,0,29.8,1,28.3,3.21,17.7,0.0,31.8,PORT_H,PORT_H_B00,2023-12-30T01:41:24.469187,340,6,0.714,0.661,Medium,47.4,100.2,2023-07-10T15:26:17.714353,PORT_H_B00,248346.0,1,1.0,9
